chpt_game_zones,4. Game Zones,,
sec_game_zones_general,4.1. General,,
rule_zone,4.1.1. A {term:zone} is a place in which cards and counters can exist during the game.,,
rule_zone_types,"4.1.1.a. There are 8 zone types: deck, hand, discard pile, score area, play area, bank, set aside, and removed from the game.",,
rule_player_zones,"4.1.1.b. Each player has their own deck, hand, discard pile, and score area. All players share the play area, the bank, the set-aside zone, and the removed-from-game zone.",,
rule_card_in_one_zone,4.1.1.c. Each card in the game exists in exactly 1 zone at a time.,,
rule_move_between_zones,4.1.2. Game rules and card effects can move cards and counters between zones. See {ref:sec_card_movements} for rules on card movements.,,
rule_reveal_from_hidden,"4.1.2.a. If a facedown card or a card in a hidden zone would ever move to another zone as part of an effect that requires that card to have a specific attribute, that card must be revealed before being moved to the new zone. If the card is being installed, this rule only applies as indicated by {ref:rule_install_from_hidden_or_secret_zone}.",,
rule_reveal_from_hidden-1-example,"When resolving {card:Clone Suffrage Movement}, the Corp chooses a facedown {card:Fast Break} in Archives. The Corp must reveal the {card:Fast Break} before adding it to HQ, to demonstrate that it is indeed an operation, meeting {card:Clone Suffrage Movement}'s requirement.",,
rule_move_instantaneous,"4.1.2.b. When a card is moved from one zone to another, the move is instantaneous. The card is never in both zones at once, and it is never not in any zone at all.",,
rule_outside_game,"4.1.3. A card that is not in any zone is outside the game. Cards outside of the game are distinct from cards in the removed-from-game zone, and cannot affect the game. They can only be affected by abilities that explicitly bring in extra cards from outside the game. See {ref:sec_extra_cards}.",,
rule_public_zone,"4.1.4. A {term:public} zone is one where cards are freely visible to both players unless they are facedown. The play area, the bank, the set-aside zone, the removed-from-game zone, and both players' score areas and discard piles are public zones. See {ref:sec_card_visibility} for rules on card visibility and {ref:sec_faceup_facedown_status} for rules on the faceup and facedown status of a card.",,
rule_hidden_zone,4.1.5. A {term:hidden} zone is one where cards are not visible to either player. Each player's deck is a hidden zone.,,
rule_secret_zone,4.1.6. A {term:secret} zone is one where cards are visible only to their controller. Each player's hand is a secret zone.,,
rule_location,4.1.7. A {term:location} is a specific position within a zone that an object can occupy. A {term:destination} is a location to which an object is to be moved.,,
rule_deck_location,4.1.7.a. A card in a player's deck has a location identified by how many cards it is from the top of that deck.,,
rule_play_area_location,4.1.7.b. Some objects in the play area are in specific locations. See {ref:rule_play_area_organization}.,,
rule_hosted_object_location,4.1.7.c. The location of a hosted object is its host card.,,
rule_default_location,4.1.7.d. All other objects are simply located in their zone and do not have a more specific location.,,
sec_deck,4.2. Deck,,
rule_draw_deck,"4.2.1. When the game begins, each player's deck presented during setup becomes their in-game draw deck.",,
rule_deck_hidden,4.2.2. Decks must be kept facedown with their cards hidden from both players. Neither player may look at the cards in any deck without being explicitly directed to do so by a rule or card ability.,,
rule_deck_ordered,4.2.3. Decks are ordered. The location of each card in a deck must be maintained except when a player is explicitly directed to manipulate the cards in a deck by a rule or card ability. See {ref:rule_deck_location}.,,
rule_deck_order_while_searching,"4.2.3.a. While searching a deck, a player is not required to maintain the order of the searched cards or indicate the previous location of any card found by the search. Note that the deck is always shuffled upon completion of the search, as required by {ref:rule_shuffle_deck_after_search}.",,
rule_deck_size_open_info,4.2.4. The number of cards in a deck is open information. Any player may count the number of cards in a deck at any time.,,
rule_deck_inactive,4.2.5. Cards in a deck are inactive.,,
rule_deck_name,4.2.6. Each player's deck has its own name as a means of differentiating between the two.,,
subsec_rnd,4.2.7. R&D,,
rule_rnd_name,4.2.7.a. {term:R&D} is the name for the Corp's deck. It is also one of the Corp's central servers. See {ref:subsec_central_servers}.,,
rule_rnd_empty_rnd,"4.2.7.b. If the Corp must ever draw from R&D while it is empty, the Runner wins the game. See {ref:sec_ending_the_game}.",,
subsec_stack,4.2.8. Stack,,
