chpt_appendix_timing_structures,11. Appendix: Timing Structure Reference,,
sec_timing_structure_overview,11.1. Overview,,
rule_timing_structure_quick_ref,"11.1.1. The following pages contain quick reference guides for the main timing structures in the game. When initiating a new timing structure, begin at the first numbered step and proceed through the structure sequentially, unless instructed to move to a different phase or step.",,
rule_timing_structure_reference_only,"11.1.2. These guides are intended to serve as shorthand references only; for comprehensive rules relating to each timing structure, see the accompanying rules sections.",,
sec_appendix_timing_structure_corps_turn,11.2. Timing Structure of The Corp's Turn ({ref:Sec_steps_corp_turn}),,
11.2.1.1.-element,11.2.1.1. Draw Phase,,
11.2.1.1.1.-element,11.2.1.1.1. The Corp gains allotted clicks.,,
11.2.1.1.2.-element,11.2.1.1.2. Paid ability window: (P) (R) (S).,,
11.2.1.1.3.-element,11.2.1.1.3. The Corp's recurring credits refill.,,
11.2.1.1.4.-element,11.2.1.1.4. The Corp's turn begins.,,
11.2.1.1.5.-element,11.2.1.1.5. The Corp draws 1 card.,,
11.2.1.2.-element,11.2.1.2. Action Phase,,
11.2.1.2.1.-element,11.2.1.2.1. Paid ability window: (P) (R) (S).,,
11.2.1.2.2.-element,11.2.1.2.2. Does the Corp have unspent clicks?,,
11.2.1.2.2.1.-element,"11.2.1.2.2.1. If no, go to {n}(d){/n}.",,
11.2.1.2.2.2.-element,"11.2.1.2.2.2. If yes, the Corp takes an action.",,
11.2.1.2.3.-element,11.2.1.2.3. Return to (a).,,
11.2.1.2.4.-element,11.2.1.2.4. The Corp's action phase ends.,,
11.2.1.3.-element,11.2.1.3. Discard Phase,,
11.2.1.3.1.-element,11.2.1.3.1. The Corp discards cards.,,
11.2.1.3.2.-element,11.2.1.3.2. Paid ability window: (P) (R).,,
11.2.1.3.3.-element,11.2.1.3.3. The Corp loses unspent [click].,,
11.2.1.3.4.-element,11.2.1.3.4. The Corp's turn ends.,,
11.2.1.3.5.-element,"11.2.1.3.5. The Corp's turn is complete, and the game moves to the Runner's turn.",,
sec_appendix_timing_structure_runners_turn,11.3. Timing Structure of The Runner's Turn ({ref:Sec_steps_runner_turn}),,
11.3.1.1.-element,11.3.1.1. Action Phase,,
11.3.1.1.1.-element,11.3.1.1.1. The Runner gains allotted clicks.,,
11.3.1.1.2.-element,11.3.1.1.2. Paid ability window: (P) (R).,,
11.3.1.1.3.-element,11.3.1.1.3. The Runner's recurring credits refill.,,
11.3.1.1.4.-element,11.3.1.1.4. The Runner's turn begins.,,
11.3.1.1.5.-element,11.3.1.1.5. Paid ability window: (P) (R).,,
11.3.1.1.6.-element,11.3.1.1.6. Does the Runner have unspent clicks?,,
